MQ135_Analog,MQ3_Analog,MiCS5524_Analog,Output,RSL_Hours
432,354,10,1,60
1981,479,828,0,10
1299,780,885,0,7
473,142,10,1,73
800,762,581,0,15
800,765,631,0,18
552,59,10,1,93
1516,703,782,0,11
598,258,10,1,60
903,710,853,0,13
1960,591,580,0,9
819,266,0,1,95
800,887,504,0,11
800,986,690,0,9
79,311,2,1,124
297,280,0,1,126
800,881,635,0,12
800,673,745,0,13
800,915,523,0,15
800,697,733,0,12
595,328,10,1,51
1459,401,797,0,14
800,1001,693,0,12
644,319,10,1,60
205,140,8,1,96
394,188,10,1,84
2000,613,705,0,7
523,318,3,1,93
137,98,0,1,158
1908,494,732,0,8
800,597,807,0,15
800,1005,710,0,9
800,1023,574,0,14
1400,676,871,0,9
297,55,0,1,155
1309,713,576,0,14
12,271,0,1,139
790,117,8,1,68
967,373,0,1,84
800,863,539,0,17
712,13,0,1,126
1141,593,930,0,14
800,992,663,0,14
692,311,10,1,44
800,870,602,0,15
96,3,5,1,129
442,103,10,1,87
763,524,751,0,15
800,922,791,0,14
80,30,0,1,154
800,641,539,0,16
800,966,727,0,11
1474,420,805,0,16
525,324,0,1,111
44,129,10,1,103
800,823,768,0,13
947,35,0,1,129
657,230,0,1,116
800,1023,567,0,10
689,6,0,1,131
1025,742,851,0,12
48,218,0,1,132
426,172,0,1,128
800,883,770,0,12
1468,496,719,0,14
131,49,0,1,161
1941,573,825,0,5
1348,444,604,0,16
1934,490,748,0,6
303,353,10,1,70
445,41,0,1,152
800,699,726,0,14
800,804,709,0,12
339,375,5,1,75
800,730,697,0,15
1077,889,1007,0,7
800,940,747,0,11
800,646,700,0,13
238,279,0,1,126
800,709,572,0,15
977,1005,1023,0,5
663,356,8,1,64
862,217,0,1,95
800,871,704,0,12
1498,624,837,0,10
923,345,10,1,43
800,762,498,0,15
925,388,10,1,30
984,7,2,1,110
172,112,9,1,114
800,964,591,0,13
671,333,10,1,41
343,208,10,1,71
765,267,10,1,44
800,958,615,0,15
255,97,10,1,90
1026,1023,1023,0,7
512,0,0,1,146
684,328,10,1,55
539,65,0,1,124
78,319,2,1,110
661,360,10,1,38
800,752,582,0,14
958,162,10,1,50
83,281,10,1,91
800,665,686,0,16
800,634,783,0,15
286,204,10,1,72
498,84,0,1,145
1711,419,788,0,13
173,137,0,1,147
800,665,780,0,17
26,290,0,1,143
800,632,580,0,18
800,956,611,0,15
185,308,10,1,74
181,333,0,1,128
914,123,10,1,51
978,200,0,1,107
915,140,10,1,54
254,33,10,1,101
670,72,0,1,120
527,32,10,1,101
12,300,10,1,78
293,147,0,1,139
800,860,710,0,11
1644,850,884,0,5
800,641,828,0,15
800,962,781,0,13
800,982,703,0,9
800,913,648,0,12
832,441,837,0,16
1541,680,821,0,11
898,383,0,1,75
255,371,4,1,103
800,650,740,0,17
594,234,10,1,69
800,738,678,0,13
563,60,0,1,124
732,368,10,1,40
1617,785,1023,0,8
800,782,582,0,17
800,697,733,0,14
800,674,762,0,17
831,123,0,1,123
811,228,10,1,44
800,848,777,0,12
1086,499,915,0,16
800,793,676,0,15
565,385,1,1,87
983,355,0,1,87
660,298,0,1,91
420,24,10,1,86
800,852,576,0,14
655,47,6,1,90
1656,412,616,0,14
2000,471,572,0,7
979,318,10,1,35
33,297,9,1,85
1645,662,759,0,8
800,991,650,0,11
393,147,6,1,105
487,68,0,1,139
362,270,0,1,111
1682,426,806,0,9
1636,429,614,0,13
134,153,10,1,85
960,354,10,1,32
510,315,0,1,117
710,46,5,1,105
800,807,616,0,16
657,91,0,1,113
800,863,734,0,10
168,194,10,1,99
800,737,779,0,16
650,91,0,1,120
800,672,524,0,14
987,539,732,0,14
111,6,10,1,123
800,885,556,0,12
951,215,10,1,50
1530,633,715,0,10
17,286,10,1,73
601,150,0,1,110
234,263,5,1,90
167,201,0,1,130
1419,474,888,0,15
800,664,644,0,15
800,815,749,0,12
1525,432,690,0,13
800,806,710,0,13
456,211,10,1,79
124,228,9,1,86
800,901,712,0,10
1612,555,794,0,12
1676,683,822,0,6
800,970,553,0,15
1908,542,710,0,10
215,156,4,1,123
470,15,0,1,134
21,0,0,1,155
438,319,10,1,61
723,263,10,1,43
28,303,0,1,121
800,825,505,0,15
807,344,10,1,37
1324,901,857,0,6
1427,592,777,0,13
150,109,6,1,115
1871,565,794,0,10
1647,700,579,0,10
461,352,10,1,63
1404,643,833,0,13
800,803,515,0,16
800,665,704,0,13
1502,584,663,0,11
800,1023,602,0,10
1371,641,769,0,13
1323,554,647,0,13
800,791,779,0,12
975,819,840,0,13
800,650,753,0,15
807,175,7,1,73
800,713,743,0,14
800,1023,756,0,11
296,57,0,1,142
1162,401,785,0,16
285,238,8,1,86
800,704,669,0,18
874,277,0,1,98
800,655,741,0,18
800,671,770,0,12
631,53,10,1,90
827,168,8,1,66
800,628,500,0,16
1477,628,782,0,8
380,365,10,1,57
577,400,10,1,46
932,152,3,1,86
1310,783,1023,0,5
833,271,7,1,60
774,288,0,1,84
187,330,1,1,115
269,42,10,1,104
890,46,5,1,89
1679,911,800,0,6
800,783,733,0,12
622,267,10,1,64
800,715,542,0,13
810,268,10,1,56
723,258,0,1,108
355,34,10,1,108
800,814,552,0,12
1531,410,732,0,10
800,874,580,0,16
402,213,0,1,127
183,308,0,1,121
419,282,0,1,110
294,91,0,1,136
886,502,711,0,15
800,813,617,0,13
800,752,725,0,12
800,971,662,0,11
281,323,0,1,125
1835,711,799,0,7
1772,593,824,0,8
800,900,599,0,12
800,948,679,0,15
247,390,0,1,104
962,247,10,1,47
271,192,0,1,132
919,59,0,1,124
800,676,766,0,13
943,0,10,1,76
355,43,10,1,88
599,44,10,1,95
800,823,675,0,14
675,510,628,0,21
343,102,0,1,144
800,690,720,0,13
1627,428,783,0,14
38,319,0,1,125
42,241,7,1,108
999,437,795,0,14
162,0,0,1,165
925,208,10,1,61
800,952,755,0,9
800,770,655,0,17
800,947,509,0,12
1831,484,624,0,10
1356,496,690,0,13
800,853,586,0,14
915,39,10,1,81
800,704,787,0,12
504,372,7,1,56
1929,629,663,0,5
800,929,735,0,13
800,809,757,0,12
2000,401,706,0,8
1166,824,845,0,11
597,295,0,1,104
875,316,10,1,45
392,205,10,1,75
592,213,10,1,76
94,277,8,1,80
998,486,864,0,15
466,295,10,1,64
800,667,801,0,17
1674,631,821,0,9
388,172,0,1,130
500,146,0,1,125
800,876,578,0,16
1741,701,628,0,7
795,495,913,0,18
1225,552,700,0,15
800,769,627,0,12
640,221,0,1,102
800,975,717,0,13
15,107,10,1,113
302,61,0,1,140
812,219,9,1,55
474,80,0,1,124
714,41,10,1,71
29,284,0,1,142
979,248,5,1,63
800,810,501,0,13
800,902,559,0,15
837,379,10,1,44
800,697,748,0,14
760,47,2,1,109
800,1023,678,0,12
578,75,3,1,109
1132,887,839,0,8
278,61,10,1,92
528,105,0,1,122
800,610,695,0,16
800,971,603,0,11
1799,498,757,0,10
792,567,816,0,18
56,214,10,1,85
114,263,10,1,93
0,128,0,1,154
1926,409,592,0,10
269,27,0,1,146
752,277,10,1,55
513,1,0,1,131
792,197,8,1,67
1045,644,813,0,12
981,318,0,1,84
1327,549,705,0,13
611,204,10,1,66
802,271,10,1,41
800,730,538,0,18
1262,570,831,0,13
800,963,681,0,10
728,151,0,1,103
800,748,739,0,12
416,108,0,1,136
696,386,2,1,69
896,334,10,1,42
275,37,10,1,111
736,243,0,1,111
1959,619,754,0,9
800,707,690,0,13
258,272,7,1,90
449,251,10,1,67
134,312,0,1,127
800,975,659,0,13
800,730,706,0,15
800,814,635,0,14
800,657,718,0,15
800,749,682,0,13
414,318,10,1,66
800,851,548,0,16
800,748,677,0,12
800,663,595,0,15
800,867,745,0,12
800,831,605,0,16
298,305,10,1,68
796,733,690,0,18
810,416,776,0,19
1496,559,710,0,12
800,634,658,0,17
1744,455,656,0,12
1763,979,940,0,4
800,895,506,0,16
800,555,813,0,13
800,873,648,0,14
279,365,0,1,101
358,243,10,1,81
68,284,10,1,79
1748,401,698,0,9
800,986,575,0,12
800,816,741,0,12
978,26,10,1,64
374,201,10,1,83
81,371,0,1,119
800,926,689,0,13
108,303,0,1,133
800,731,608,0,18
800,765,552,0,14
800,638,566,0,17
62,382,0,1,119
242,57,10,1,95
800,604,631,0,19
815,198,0,1,106
434,212,3,1,104
890,327,0,1,74
581,259,10,1,60
800,764,566,0,18
800,940,552,0,12
212,12,10,1,103
1473,585,900,0,9
800,784,639,0,12
720,225,10,1,60
1455,437,761,0,11
281,206,10,1,70
1006,895,851,0,11
739,636,800,0,13
81,11,0,1,156
868,153,5,1,95
84,225,5,1,115
680,619,854,0,15
881,91,0,1,126
800,807,721,0,14
800,770,647,0,16
800,932,646,0,13
1812,595,665,0,10
739,376,10,1,50
53,334,10,1,69
1805,897,949,0,4
825,144,10,1,51
800,666,779,0,18
193,180,10,1,83
1093,682,795,0,11
463,213,10,1,66
785,332,10,1,37
800,711,578,0,18
61,124,10,1,100
988,293,0,1,89
800,850,535,0,15
644,362,0,1,101
800,962,724,0,10
800,620,601,0,19
627,272,10,1,58
1694,986,925,0,5
1488,509,614,0,14
1897,646,901,0,4
800,769,565,0,14
631,32,6,1,112
800,957,817,0,9
799,325,6,1,71
14,368,10,1,72
438,307,0,1,122
565,376,0,1,99
418,23,10,1,87
856,97,10,1,71
800,824,505,0,13
1236,639,912,0,9
594,351,10,1,37
1965,659,821,0,5
1033,642,780,0,11
375,139,10,1,74
1944,671,792,0,7
800,828,720,0,14
839,204,0,1,105
1073,401,799,0,16
825,413,809,0,16
800,665,717,0,18
800,827,681,0,11
732,26,7,1,107
849,300,6,1,67
712,285,10,1,61
502,51,0,1,128
708,303,10,1,37
675,211,10,1,53
800,908,479,0,12
373,232,1,1,120
800,963,776,0,13
1549,480,769,0,9
956,256,10,1,36
800,669,669,0,14
736,140,0,1,113
907,131,0,1,106
800,669,761,0,15
156,80,9,1,112
630,260,0,1,94
980,383,0,1,79
1220,557,863,0,10
669,366,10,1,47
303,267,0,1,130
495,151,0,1,137
520,174,10,1,62
584,54,0,1,124
800,930,562,0,11
182,99,10,1,106
800,984,569,0,11
1899,455,833,0,8
145,0,1,1,153
800,719,692,0,12
1077,456,759,0,17
562,5,5,1,126
28,180,10,1,96
800,978,769,0,9
1351,670,872,0,7
800,946,756,0,15
231,218,0,1,137
800,715,784,0,12
921,15,6,1,92
800,607,646,0,17
800,946,589,0,12
876,373,0,1,76
128,0,6,1,140
669,104,10,1,73
800,795,539,0,15
714,233,10,1,67
1436,715,767,0,7
400,0,1,1,145
800,708,678,0,14
800,701,624,0,15
718,540,885,0,18
800,822,535,0,12
800,739,729,0,14
369,259,10,1,80
502,16,10,1,84
105,346,8,1,79
1642,606,756,0,8
332,182,0,1,136
800,877,508,0,15
100,349,0,1,116
800,712,606,0,18
1597,879,987,0,5
778,255,0,1,94
738,531,765,0,19
519,333,0,1,102
824,263,10,1,42
1930,766,883,0,4
1465,746,805,0,10
461,245,5,1,92
14,253,10,1,83
800,896,539,0,12
1961,401,727,0,8
800,996,759,0,13
850,793,825,0,14
799,217,10,1,49
800,928,603,0,14
735,146,7,1,82
800,921,697,0,14
800,818,585,0,17
572,248,0,1,111
800,862,554,0,15
800,978,561,0,10
877,298,0,1,88
976,118,0,1,95
874,750,794,0,14
1631,401,730,0,13
284,313,10,1,56
323,314,0,1,111
800,705,668,0,17
43,153,1,1,150
538,393,10,1,37
842,500,726,0,18
98,4,0,1,156
397,52,9,1,103
225,368,10,1,58
893,136,10,1,53
1568,635,813,0,12
1016,985,1011,0,8
401,288,10,1,76
250,11,0,1,150
724,703,595,0,14
800,738,641,0,13
834,301,9,1,57
864,100,10,1,69
800,988,603,0,14
800,920,788,0,11
800,1023,621,0,10
1968,528,683,0,10
800,691,690,0,16
62,0,0,1,162
65,68,0,1,150
580,118,4,1,114
985,542,654,0,16
524,158,10,1,71
800,655,683,0,14
496,213,0,1,129
650,439,874,0,17
311,147,0,1,130
800,926,652,0,11
351,114,0,1,135
1399,460,786,0,11
800,929,578,0,15
800,852,588,0,16
19,373,1,1,126
188,189,0,1,142
411,360,10,1,69
192,145,5,1,127
130,26,10,1,106
772,147,10,1,70
800,652,667,0,17
468,235,10,1,58
800,644,793,0,16
1525,606,819,0,11
800,928,618,0,12
287,400,10,1,62
330,102,8,1,95
1233,473,680,0,12
1119,736,987,0,7
800,896,662,0,11
800,900,625,0,16
800,591,614,0,16
141,252,0,1,134
800,1015,721,0,8
800,644,641,0,18
1000,82,0,1,116
19,151,0,1,147
800,776,692,0,14
1512,837,910,0,9
509,1,10,1,90
1253,610,737,0,11
800,932,709,0,12
1736,458,914,0,10
98,387,0,1,125
624,349,7,1,64
800,923,710,0,10
800,632,517,0,20
1258,680,877,0,12
659,124,0,1,113
800,828,783,0,10
547,289,4,1,89
824,21,0,1,118
800,884,750,0,13
1186,661,680,0,10
800,886,708,0,11
800,818,610,0,13
1000,294,0,1,85
921,114,0,1,109
538,13,4,1,120
695,284,10,1,46
910,178,0,1,114
203,286,3,1,112
800,917,590,0,13
797,360,0,1,85
551,58,10,1,76
800,777,608,0,13
441,242,10,1,73
800,756,747,0,13
800,701,693,0,16
1436,528,793,0,10
800,700,556,0,18
1305,961,841,0,7
800,701,801,0,15
800,803,650,0,13
789,605,753,0,13
991,400,10,1,35
183,132,10,1,91
674,0,0,1,128
637,232,0,1,108
945,0,10,1,86
484,219,5,1,84
935,310,0,1,93
800,807,638,0,17
414,180,8,1,88
800,875,616,0,14
876,82,6,1,79
800,754,474,0,16
587,76,6,1,90
800,615,808,0,13
1208,537,714,0,15
800,682,663,0,13
800,746,562,0,15
115,0,10,1,104
823,365,10,1,41
1005,1023,946,0,6
800,936,698,0,15
1540,690,697,0,11
800,776,636,0,15
445,247,8,1,69
800,765,776,0,12
456,171,0,1,122
719,364,10,1,33
1956,540,628,0,6
1562,773,845,0,6
1252,754,905,0,10
1668,961,855,0,6
1381,500,844,0,9
533,0,0,1,136
933,215,1,1,83
800,879,689,0,12
800,791,764,0,13
808,352,0,1,83
800,581,759,0,16
800,928,722,0,12
77,180,0,1,153
609,326,0,1,110
1167,458,667,0,14
997,548,911,0,14
800,692,561,0,17
800,883,572,0,16
345,34,10,1,88
40,334,10,1,75
800,802,718,0,13
800,820,645,0,13
1889,841,832,0,6
675,685,897,0,16
535,311,10,1,45
1588,737,838,0,9
800,590,524,0,17
710,255,10,1,65
800,982,633,0,13
800,1005,648,0,10
857,682,658,0,14
800,967,767,0,11
800,932,544,0,11
239,314,4,1,89
800,970,569,0,12
481,208,10,1,79
916,252,10,1,38
800,684,654,0,17
595,325,0,1,101
800,890,776,0,11
299,354,0,1,107
800,829,627,0,13
1447,401,611,0,14
800,1003,776,0,10
665,118,10,1,70
1283,460,793,0,16
908,143,6,1,70
767,159,10,1,55
1858,499,778,0,6
196,223,0,1,137
156,96,0,1,138
800,635,595,0,15
655,393,0,1,100
1861,670,950,0,5
517,60,5,1,117
800,897,702,0,14
800,753,590,0,13
229,53,0,1,146
827,180,5,1,77
719,577,788,0,17
924,356,10,1,44
300,70,10,1,108
262,282,7,1,95
810,209,0,1,98
849,294,4,1,78
725,147,10,1,62
1566,567,920,0,11
800,766,760,0,11
1483,912,931,0,6
385,63,10,1,99
800,774,747,0,14
800,686,577,0,15
1061,519,900,0,15
956,974,921,0,7
800,754,520,0,17
596,221,10,1,72
938,207,10,1,45
2000,521,649,0,8
639,98,4,1,98
1686,564,893,0,8
584,112,0,1,132
755,145,0,1,124
800,846,805,0,15
800,634,533,0,20
1027,742,950,0,13
447,267,0,1,115
308,221,10,1,75
800,829,639,0,15
1741,634,769,0,6
397,246,10,1,60
607,25,0,1,127
800,878,762,0,10
800,708,679,0,18
607,354,0,1,103
826,175,0,1,118
1290,568,708,0,15
1000,85,10,1,56
800,1001,514,0,13
396,195,5,1,105
400,378,0,1,94
364,44,0,1,153
800,776,764,0,14
906,626,758,0,16
800,672,716,0,13
516,183,0,1,131
800,660,593,0,14
697,220,3,1,92
925,384,10,1,24
981,949,858,0,11
1529,593,716,0,10
800,1008,810,0,11
264,323,7,1,84
1489,881,918,0,9
589,208,0,1,117
515,358,0,1,104
800,709,733,0,12
147,311,7,1,87
800,815,769,0,14
800,728,769,0,17
554,309,0,1,102
800,863,667,0,11
328,328,7,1,68
489,133,10,1,75
800,720,813,0,16
800,687,707,0,18
124,166,10,1,92
800,680,520,0,18
386,178,0,1,136
906,506,887,0,17
800,770,676,0,13
1189,697,753,0,9
1814,533,690,0,9
800,720,582,0,17
800,755,550,0,16
800,700,686,0,12
800,681,798,0,13
1085,924,906,0,9
800,628,792,0,16
1259,401,819,0,12
1906,704,717,0,5
800,667,723,0,17
800,665,468,0,20
1085,640,653,0,17
231,338,10,1,64
642,165,5,1,83
800,961,579,0,11
443,38,5,1,117
1018,408,770,0,15
1310,454,891,0,11
795,55,10,1,68
800,830,776,0,10
800,655,514,0,20
34,55,0,1,162
987,187,10,1,58
633,29,6,1,116
800,909,660,0,14
785,504,596,0,17
583,262,10,1,54
981,122,0,1,113
800,716,835,0,11
598,190,1,1,120
800,997,607,0,14
800,829,683,0,14
397,329,3,1,83
1752,415,735,0,11
953,313,4,1,56
355,361,0,1,119
331,39,0,1,146
1049,614,885,0,12
619,337,10,1,53
800,977,646,0,10
95,134,10,1,99
800,956,574,0,11
1694,694,736,0,7
800,666,674,0,13
736,59,0,1,120
681,369,10,1,54
29,358,10,1,74
800,858,717,0,13
408,8,10,1,94
1077,805,941,0,8
185,305,0,1,112
1567,596,852,0,10
472,52,10,1,81
800,980,604,0,12
800,775,774,0,14
800,881,592,0,13
991,364,8,1,39
800,930,655,0,14
1126,707,689,0,14
1893,450,709,0,8
800,811,625,0,14
638,122,7,1,100
339,285,0,1,118
800,874,601,0,15
209,47,0,1,158
648,106,10,1,65
747,187,0,1,107
773,91,0,1,116
800,708,767,0,12
800,873,678,0,13
10,34,10,1,115
495,157,10,1,75
607,225,2,1,94
308,347,0,1,115
800,661,696,0,14
800,678,474,0,15
1399,518,762,0,14
800,647,743,0,14
42,48,10,1,103
800,716,794,0,13
348,49,10,1,88
296,288,0,1,128
800,713,659,0,17
578,276,1,1,109
197,256,10,1,78
1977,827,919,0,4
352,214,0,1,119
800,991,707,0,13
800,657,650,0,15
800,765,642,0,13
800,865,739,0,15
384,151,2,1,125
90,358,0,1,116
800,631,592,0,18
1091,619,887,0,15
800,926,549,0,13
523,61,10,1,94
800,819,647,0,13
800,624,501,0,20
278,393,0,1,118
590,152,10,1,84
499,165,6,1,104
362,361,0,1,113
927,334,10,1,37
750,620,716,0,15
21,78,0,1,153
1848,747,942,0,7
800,898,486,0,14
826,511,715,0,15
800,776,692,0,12
803,229,10,1,47
800,871,645,0,13
800,820,674,0,16
57,43,9,1,116
316,346,0,1,117
892,539,730,0,19
800,747,596,0,17
634,257,0,1,114
348,88,4,1,124
800,780,650,0,14
800,663,519,0,15
1882,879,929,0,0
800,1013,777,0,8
858,288,10,1,42
1720,497,581,0,10
705,66,10,1,69
65,256,0,1,126
800,985,565,0,12
938,502,664,0,16
140,311,10,1,66
759,105,10,1,62
1266,651,610,0,11
974,639,715,0,15
800,633,480,0,16
800,699,815,0,13
1089,646,689,0,11
357,73,0,1,152
800,904,622,0,10
885,36,10,1,65
289,383,10,1,60
687,683,867,0,17
800,766,667,0,13
721,141,10,1,72
549,329,0,1,90
904,61,0,1,111
877,36,0,1,122
44,181,0,1,155
800,910,694,0,13
800,635,609,0,20
1738,780,949,0,5
1798,826,1023,0,4
800,991,569,0,10
181,223,10,1,96
169,217,10,1,92
1313,839,828,0,6
800,978,547,0,12
847,147,0,1,120
782,628,841,0,15
708,0,10,1,85
597,0,5,1,125
1720,464,668,0,11
800,834,811,0,15
434,6,10,1,96
1600,484,729,0,13
800,753,541,0,16
664,113,7,1,77
200,123,0,1,145
800,642,571,0,19
413,400,10,1,60
344,186,10,1,92
431,282,10,1,58
1778,530,701,0,10
800,1007,776,0,12
234,138,0,1,149
664,135,0,1,124
800,709,631,0,18
148,251,10,1,88
800,666,675,0,13
0,31,10,1,104
800,901,586,0,16
800,950,476,0,11
947,164,10,1,43
749,263,0,1,96
800,696,592,0,13
852,180,2,1,104
800,937,653,0,13
653,27,10,1,96
1126,559,715,0,14
409,100,0,1,146
4,0,10,1,108
1064,602,784,0,14
162,389,10,1,74
944,361,10,1,27
964,256,10,1,42
976,861,1003,0,8
357,198,2,1,113
933,85,10,1,65
800,680,614,0,16
1114,606,738,0,11
151,310,10,1,85
1199,864,921,0,11
800,734,729,0,16
800,799,722,0,16
1547,437,673,0,15
800,887,704,0,15
800,755,738,0,13
800,827,808,0,14
364,130,10,1,76
800,962,801,0,10
587,344,0,1,103
1691,490,814,0,9
168,245,10,1,77
800,689,594,0,18
91,254,0,1,124
800,721,577,0,14
861,385,10,1,40
879,294,0,1,80
800,769,492,0,18
902,698,747,0,14
112,275,10,1,87
364,91,0,1,146
800,701,514,0,14
239,156,10,1,97
36,172,10,1,105
721,449,827,0,19
1413,619,895,0,12
800,893,712,0,13
242,24,0,1,153
325,159,0,1,138
217,211,0,1,130
800,856,497,0,13
1270,726,599,0,10
882,177,10,1,52
559,59,10,1,85
800,709,776,0,15
204,232,1,1,124
852,116,10,1,71
1194,691,716,0,9
143,171,10,1,92
975,82,10,1,72
123,43,10,1,116
187,208,0,1,143
156,162,10,1,96
697,108,10,1,79
771,333,6,1,66
1565,401,699,0,13
266,367,2,1,108
800,851,745,0,11
49,26,0,1,153
840,111,0,1,125
1352,491,744,0,12
128,147,0,1,156
931,136,0,1,108
800,935,647,0,10
800,559,540,0,17
800,828,811,0,13
421,45,0,1,144
800,1015,605,0,15
542,260,6,1,76
1505,551,611,0,11
1813,530,802,0,9
800,963,493,0,15
1552,544,798,0,12
1557,731,856,0,11
800,885,492,0,17
260,372,0,1,118
438,333,10,1,54
677,11,0,1,142
175,361,10,1,75
1987,838,798,0,2
737,375,0,1,80
1698,412,785,0,12
800,897,813,0,11
1337,563,777,0,11
603,194,0,1,115
800,859,780,0,15
421,262,0,1,122
377,275,0,1,120
800,714,633,0,18
786,105,0,1,117
291,311,0,1,113
441,124,0,1,123
537,233,10,1,77
126,121,0,1,147
800,928,742,0,12
800,930,753,0,12
342,89,10,1,100
540,131,0,1,124
1639,648,709,0,7
917,101,0,1,110
118,179,10,1,98
1252,862,982,0,7
555,78,10,1,79
800,831,535,0,16
800,873,659,0,16
800,807,718,0,12
800,865,737,0,12
800,630,731,0,15
588,293,0,1,113
800,1023,653,0,12
576,190,10,1,76
82,380,0,1,109
527,0,10,1,90
505,222,0,1,129
381,383,10,1,57
383,26,10,1,91
188,246,10,1,73
131,2,10,1,105
1323,456,671,0,16
862,282,0,1,103
542,176,0,1,112
768,368,10,1,47
575,370,0,1,90
173,189,10,1,83
1044,849,998,0,9
417,130,1,1,130
800,774,592,0,14
1202,577,748,0,14
668,400,10,1,36
1592,856,799,0,7
899,224,0,1,107
695,148,9,1,80
800,996,616,0,15
724,225,0,1,112
800,768,748,0,17
1926,401,806,0,11
388,201,0,1,129
800,922,556,0,13
393,97,10,1,89
176,218,0,1,137
193,324,10,1,69
961,401,886,0,18
600,324,10,1,49
803,432,754,0,20
82,351,0,1,121
800,760,506,0,17
823,242,10,1,58
800,952,731,0,13
864,256,0,1,99
765,218,10,1,67
884,335,7,1,55
50,89,0,1,164
836,469,676,0,21
578,124,0,1,114
1,344,7,1,89
871,212,10,1,57
27,322,0,1,129
800,783,772,0,12
958,362,10,1,39
45,205,10,1,98
1655,523,684,0,12
800,680,761,0,17
434,374,0,1,109
805,0,0,1,133
20,108,0,1,154
1000,278,0,1,93
813,970,800,0,9
800,825,683,0,15
778,266,0,1,109
800,976,491,0,12
800,812,609,0,12
800,870,537,0,16
235,146,10,1,85
760,161,10,1,61
529,299,10,1,48
800,934,672,0,14
800,741,559,0,15
1000,82,6,1,91
385,258,10,1,63
831,545,646,0,16
800,664,647,0,16
800,716,791,0,13
800,912,590,0,12
800,791,772,0,14
8,115,1,1,153
662,364,3,1,81
893,523,769,0,15
1458,474,714,0,12
800,967,482,0,16
946,747,735,0,11
1371,636,793,0,12
1861,408,620,0,8
800,798,643,0,15
732,244,0,1,111
560,116,0,1,127
1502,973,879,0,3
84,146,0,1,146
800,685,703,0,16
268,101,0,1,135
189,248,0,1,133
800,898,733,0,10
771,501,727,0,17
800,672,505,0,17
868,82,0,1,119
482,335,0,1,113
632,230,0,1,116
735,107,4,1,89
800,653,635,0,14
800,1018,775,0,8
707,361,10,1,42
502,235,0,1,118
800,898,475,0,14
441,359,1,1,109
818,97,0,1,124
800,692,649,0,15
801,56,0,1,118
800,586,568,0,18
800,631,578,0,19
800,952,741,0,12
982,67,5,1,99
800,1010,552,0,12
348,57,0,1,138
94,400,10,1,70
398,21,10,1,94
705,343,7,1,57
959,0,9,1,80
800,645,684,0,15
809,311,5,1,73
1065,534,873,0,15
201,321,0,1,110
823,379,0,1,89
800,961,587,0,12
527,253,10,1,73
438,141,2,1,121
979,400,0,1,65
957,401,802,0,18
800,797,685,0,16
800,1022,668,0,12
1296,678,682,0,13
746,140,0,1,122
800,563,560,0,16
800,1007,707,0,10
1341,589,604,0,11
306,362,0,1,111
1026,686,852,0,10
770,646,721,0,16
404,105,0,1,126
